crop_type,soil_moisture,temperature,rainfall,irrigation_amount_mm
wheat,45.45,11.07,0.57,27.75
wheat,59.36,22.61,2.04,31.86
wheat,22.95,31.8,1.34,43.67
wheat,13.1,28.6,11.67,43.5
wheat,68.55,28.07,5.85,31.05
wheat,57.71,19.48,8.67,23.8
wheat,20.4,15.48,4.32,39.09
wheat,42.95,35.01,16.19,28.9
wheat,46.7,24.69,4.27,31.72
wheat,31.36,36.52,0.22,41.78
wheat,15.87,27.21,9.62,43.49
wheat,20.39,25.18,7.63,41.15
wheat,12.72,23.11,14.75,39.88
wheat,40.19,39.98,16.12,31.29
wheat,45.15,42.91,12.85,32.33
wheat,33.29,32.52,9.19,36.21
wheat,33.17,43.64,35.36,26.71
wheat,21.75,12.43,1.59,36.44
wheat,29.14,39.57,0.35,44.6
wheat,58.87,19.86,1.89,29.93
wheat,62.65,35.73,24.4,25.77
wheat,26.92,16.21,20.83,23.02
wheat,56.58,21.93,40.05,8.41
wheat,61.5,25.01,20.85,20.47
wheat,64.15,27.68,26.27,19.83
wheat,29.2,41.34,7.39,41.04
wheat,67.0,43.27,12.78,31.5
wheat,47.91,25.7,5.21,30.98
wheat,55.14,37.71,23.38,23.1
wheat,15.47,27.3,0.89,42.13
wheat,63.26,22.28,1.87,32.13
wheat,18.58,36.65,14.44,40.18
wheat,59.31,34.72,1.27,35.06
wheat,15.09,44.53,7.03,50.99
wheat,66.83,44.51,21.0,28.09
wheat,32.58,12.92,22.52,18.78
wheat,64.38,13.89,10.18,24.77
wheat,10.68,26.4,0.87,48.98
wheat,45.0,43.68,7.05,36.6
wheat,27.14,40.4,3.8,43.9
wheat,69.58,12.58,12.11,22.92
wheat,68.16,28.31,14.89,24.73
wheat,47.65,30.45,34.71,19.11
wheat,12.73,19.83,45.06,21.26
wheat,47.21,19.71,3.13,29.28
wheat,37.82,22.37,13.14,24.24
wheat,58.83,33.97,2.66,34.3
wheat,64.66,38.79,44.88,15.69
wheat,35.09,42.65,30.16,30.15
wheat,12.71,10.92,7.09,38.93
wheat,32.85,43.95,27.69,29.05
wheat,60.3,26.4,8.04,27.88
wheat,61.88,38.45,122.59,8.0
wheat,69.8,29.44,21.98,21.82
wheat,17.75,43.39,13.98,41.73
wheat,23.72,33.51,14.44,36.02
wheat,50.29,28.21,22.2,21.23
wheat,41.21,39.83,12.04,34.66
wheat,34.21,14.69,0.44,32.39
wheat,55.31,31.71,18.26,24.4
wheat,10.87,22.27,13.37,38.57
wheat,33.53,25.31,35.18,19.5
wheat,57.02,23.88,14.6,20.5
wheat,61.74,43.23,2.39,37.58
wheat,25.49,26.07,58.7,12.55
wheat,39.56,21.51,15.05,24.84
wheat,17.73,14.48,2.47,38.42
wheat,18.33,32.43,3.01,46.09
wheat,38.44,33.36,2.84,35.94
wheat,21.54,11.43,2.78,35.45
wheat,15.32,14.22,9.26,35.38
wheat,22.38,22.75,10.5,35.38
wheat,57.96,31.98,1.28,33.71
wheat,62.41,42.23,0.95,39.2
wheat,54.9,16.46,3.52,25.39
wheat,32.23,26.96,14.45,29.87
wheat,54.85,11.28,4.36,22.03
wheat,52.8,41.33,10.75,31.2
wheat,36.84,28.64,4.17,34.66
wheat,26.15,23.2,0.3,37.52
wheat,29.65,14.19,33.18,16.84
wheat,45.62,33.77,23.35,22.02
wheat,42.23,30.54,20.52,24.7
wheat,35.9,14.47,5.01,31.19
wheat,44.25,22.46,64.59,8.0
wheat,46.35,18.3,1.61,27.33
wheat,19.64,16.53,5.03,36.07
wheat,20.4,41.39,1.25,44.74
wheat,68.94,13.92,7.61,24.72
wheat,68.17,40.29,25.48,23.79
wheat,50.12,42.53,12.2,31.61
wheat,44.3,19.8,22.01,17.88
wheat,35.53,27.77,4.16,33.28
wheat,16.89,31.37,5.11,42.44
wheat,38.87,28.64,0.8,35.72
wheat,30.2,14.7,0.98,32.77
wheat,50.89,36.61,13.58,30.49
wheat,38.29,24.41,6.44,31.32
wheat,20.87,12.33,20.27,28.36
wheat,44.47,39.46,2.26,35.5
wheat,19.82,15.75,25.28,27.38
wheat,49.91,28.31,6.67,29.08
wheat,59.0,25.37,7.1,29.52
wheat,37.76,20.55,20.65,20.28
wheat,63.97,23.44,11.76,25.02
wheat,64.39,31.85,1.86,33.55
wheat,30.09,14.87,23.7,23.21
wheat,47.2,28.67,33.65,15.41
wheat,28.7,18.7,20.44,26.7
wheat,12.01,29.95,21.56,37.02
wheat,59.28,13.87,28.11,14.69
wheat,17.65,23.91,23.94,30.76
wheat,53.34,35.2,15.37,27.07
wheat,51.64,29.0,4.35,29.33
wheat,64.51,30.42,7.68,29.06
wheat,37.72,43.15,2.5,41.06
wheat,46.69,10.63,30.85,16.04
wheat,65.93,29.78,17.89,24.79
wheat,19.15,30.17,14.0,38.86
wheat,35.45,35.78,40.86,19.55
wheat,16.79,44.47,27.39,39.46
wheat,17.48,42.23,30.59,39.29
wheat,33.94,11.92,6.12,30.2
wheat,58.17,10.16,6.09,25.74
wheat,65.19,22.12,6.39,23.67
wheat,54.25,25.83,3.82,28.24
wheat,20.58,27.44,8.14,39.17
wheat,64.89,22.68,13.03,22.53
wheat,67.66,15.2,8.03,24.34
wheat,15.12,44.89,10.46,46.65
wheat,55.0,17.35,34.25,11.54
wheat,22.31,16.67,0.56,41.96
wheat,13.94,37.14,9.06,44.14
wheat,41.46,25.43,7.68,27.66
wheat,20.92,40.16,43.81,26.8
wheat,32.4,19.48,15.49,26.67
wheat,19.37,35.06,16.13,38.89
wheat,11.63,17.77,3.94,41.8
wheat,20.71,32.85,4.08,43.33
wheat,15.97,18.51,19.22,32.71
wheat,33.83,33.38,3.44,38.54
wheat,27.59,41.37,0.2,43.28
wheat,63.56,38.61,6.27,36.45
wheat,25.57,23.29,13.38,34.0
wheat,34.56,29.32,8.59,31.51
wheat,27.67,43.2,21.63,37.22
wheat,57.99,24.88,0.34,31.24
wheat,26.12,28.96,15.06,33.12
wheat,60.1,44.45,11.19,33.06
wheat,20.3,19.53,0.28,37.84
wheat,43.25,32.8,26.56,22.96
wheat,22.39,10.38,2.21,39.0
wheat,49.9,16.14,36.87,11.87
wheat,35.13,23.41,10.98,29.3
wheat,46.19,18.59,7.4,25.53
wheat,27.32,22.45,19.04,29.77
wheat,38.56,33.23,41.43,14.34
wheat,53.95,17.52,0.48,29.18
wheat,13.09,27.37,13.63,37.72
wheat,30.05,36.98,1.69,42.44
wheat,39.73,34.09,8.56,32.73
wheat,24.78,38.67,24.1,32.38
wheat,45.41,22.63,1.44,31.23
wheat,65.04,14.79,45.01,8.0
wheat,42.51,40.55,19.76,28.62
wheat,58.39,33.06,17.68,25.2
wheat,39.37,17.74,65.93,8.0
wheat,66.64,11.38,18.34,19.56
wheat,12.04,34.41,5.29,47.65
wheat,65.46,43.99,43.31,19.13
wheat,60.67,21.17,26.48,16.6
wheat,12.22,30.87,3.92,45.07
wheat,53.49,12.29,5.68,26.58
wheat,42.37,37.68,5.76,36.18
wheat,46.95,18.15,0.37,29.0
wheat,62.21,10.74,31.16,12.99
wheat,57.93,44.93,6.48,36.3
wheat,56.03,24.07,9.81,27.6
wheat,69.05,36.89,8.11,32.67
wheat,35.28,35.82,4.09,37.7
wheat,27.23,20.37,3.99,34.44
wheat,12.53,10.63,66.0,9.21
wheat,50.78,17.64,44.92,8.0
wheat,57.18,13.13,8.11,26.91
wheat,20.02,44.69,3.95,47.64
wheat,66.56,32.74,14.04,25.22
wheat,20.59,17.72,3.1,38.13
wheat,56.78,22.25,0.89,29.39
wheat,55.49,34.36,2.51,32.23
wheat,58.95,17.86,3.8,30.28
wheat,44.81,13.2,31.49,13.25
wheat,25.94,14.53,32.94,20.42
wheat,43.05,13.04,7.88,26.06
wheat,32.36,19.09,19.28,23.92
wheat,23.21,33.91,1.19,44.26
wheat,61.07,27.33,9.83,29.33
wheat,30.87,33.73,12.51,35.61
wheat,26.02,40.75,23.95,35.77
wheat,62.04,34.79,27.21,22.44
wheat,51.85,33.8,14.46,26.82
wheat,62.85,40.51,0.45,38.2
wheat,59.55,14.51,6.12,23.4
wheat,59.08,39.12,10.62,32.58
wheat,10.38,20.05,14.39,37.94
wheat,25.59,32.19,11.65,37.42
wheat,56.79,13.74,21.47,17.57
wheat,30.51,32.14,40.33,20.78
wheat,16.15,42.8,17.47,42.59
wheat,52.49,12.36,13.09,20.35
wheat,30.75,31.73,0.7,40.8
wheat,11.48,10.77,5.86,38.87
wheat,39.32,36.96,17.25,27.67
wheat,69.83,24.92,9.01,26.35
wheat,19.82,37.82,17.75,40.77
wheat,26.4,43.28,2.46,47.92
wheat,35.94,43.03,8.16,36.86
wheat,26.45,44.44,7.9,46.16
wheat,63.65,18.05,3.59,27.03
wheat,32.11,40.25,9.61,38.25
wheat,68.09,16.49,30.45,13.94
wheat,60.69,36.64,14.76,29.86
wheat,17.87,11.14,38.05,22.56
wheat,38.89,14.11,2.01,29.98
wheat,51.13,25.06,3.36,28.73
wheat,44.92,19.41,23.96,17.3
wheat,28.62,25.93,0.18,38.9
wheat,38.8,31.0,5.17,33.07
wheat,51.7,40.1,22.7,26.15
wheat,16.3,18.47,64.76,10.95
wheat,18.55,27.46,14.44,37.95
wheat,10.59,21.43,10.94,42.76
wheat,15.27,22.27,0.51,43.26
wheat,17.96,29.86,17.54,35.74
wheat,58.04,17.01,2.75,27.34
wheat,52.39,11.11,41.28,8.0
wheat,13.12,28.95,18.52,38.76
wheat,58.1,21.88,25.3,18.63
wheat,14.81,41.32,11.9,45.37
wheat,48.61,28.42,19.73,24.98
wheat,14.9,12.11,4.26,37.37
wheat,57.38,33.05,10.34,28.76
wheat,43.32,35.17,3.89,32.69
wheat,50.81,12.53,0.47,28.11
wheat,25.46,26.19,30.41,26.97
wheat,35.53,22.11,6.96,32.44
wheat,69.26,11.4,30.26,10.02
wheat,53.52,27.03,31.0,19.81
wheat,64.04,24.76,4.86,30.17
wheat,22.64,31.8,14.98,37.06
wheat,53.99,14.6,18.87,18.55
wheat,39.54,18.65,30.69,15.64
wheat,36.72,28.02,6.68,31.36
wheat,33.46,43.93,4.48,42.5
wheat,49.4,21.38,22.27,16.58
wheat,14.41,15.94,11.0,35.73
wheat,30.22,39.01,8.46,40.5
wheat,52.41,15.85,2.75,24.37
wheat,12.2,35.77,16.35,44.22
wheat,58.34,30.49,30.41,18.36
wheat,22.35,13.92,4.72,35.41
wheat,66.2,11.38,1.95,25.49
wheat,37.13,42.69,5.7,38.38
wheat,18.9,44.53,50.34,25.9
wheat,10.3,43.31,15.29,46.6
wheat,40.94,27.11,16.49,27.56
wheat,18.38,11.05,5.52,35.31
wheat,50.41,43.95,1.48,39.31
wheat,50.36,25.53,30.39,17.34
wheat,60.29,43.06,17.24,28.73
wheat,39.83,31.62,30.48,20.56
wheat,65.86,34.13,16.93,26.79
wheat,22.94,33.06,7.51,39.74
wheat,49.47,44.98,0.74,39.57
wheat,68.63,24.24,30.69,16.36
wheat,54.31,40.75,7.77,36.07
wheat,29.62,33.37,24.74,30.48
wheat,36.13,38.62,1.92,40.93
wheat,42.67,10.2,5.89,23.69
wheat,51.73,23.6,8.93,24.01
wheat,24.25,23.06,3.87,38.38
wheat,50.09,31.68,9.34,28.45
wheat,32.79,40.22,10.98,36.91
wheat,30.47,23.31,7.63,33.51
wheat,44.81,28.68,14.04,27.05
wheat,53.09,43.44,0.28,39.6
wheat,21.75,10.26,15.64,29.77
wheat,65.62,12.11,40.87,8.0
wheat,31.1,13.55,9.98,27.46
wheat,28.44,38.11,11.62,36.91
wheat,28.68,31.36,18.89,31.04
wheat,17.31,16.34,17.14,29.54
wheat,20.89,28.38,18.52,34.68
wheat,25.39,43.7,9.91,41.44
wheat,58.36,29.26,0.67,33.58
wheat,46.1,38.67,32.34,21.01
wheat,23.68,17.42,14.16,32.7
wheat,64.0,22.37,4.05,27.97
wheat,56.83,19.62,25.94,19.11
wheat,15.73,31.84,9.02,41.65
wheat,45.2,15.88,20.03,17.31
wheat,15.74,10.83,15.41,33.64
wheat,46.43,29.13,3.96,33.36
wheat,39.81,44.57,2.2,38.04
wheat,51.71,24.15,8.38,28.43
wheat,69.48,14.49,1.65,28.33
wheat,53.46,30.24,4.81,29.54
wheat,31.3,12.43,10.98,27.11
wheat,14.06,38.01,3.99,50.18
wheat,49.05,28.65,5.88,30.18
wheat,29.98,33.43,77.09,12.67
wheat,53.84,26.28,0.93,34.47
wheat,43.74,43.52,2.89,36.54
wheat,42.15,13.38,8.98,25.24
wheat,55.37,22.17,16.4,21.36
wheat,19.14,44.74,39.26,29.29
wheat,42.4,39.47,11.04,31.82
wheat,55.32,14.47,26.24,14.72
wheat,56.92,34.81,0.55,33.54
wheat,31.61,13.07,41.46,11.46
wheat,43.23,20.69,7.59,30.01
wheat,40.94,42.18,10.31,33.35
wheat,69.53,39.8,3.51,35.01
wheat,62.68,40.38,24.59,27.11
wheat,57.4,20.66,1.27,27.35
wheat,51.7,22.11,55.7,8.0
wheat,48.46,38.79,2.13,39.65
wheat,55.89,16.12,10.47,22.26
wheat,33.92,15.12,6.87,29.86
wheat,35.95,20.91,10.58,28.73
wheat,36.37,13.7,15.36,24.51
wheat,49.01,15.32,0.95,25.23
rice,56.85,26.09,0.9,56.01
rice,17.28,20.61,1.6,72.06
rice,51.53,12.18,10.68,50.42
rice,47.43,28.45,8.33,59.69
rice,17.84,41.03,8.96,75.59
rice,34.85,38.96,19.84,60.68
rice,56.16,10.39,8.07,51.36
rice,25.59,36.61,2.21,74.45
rice,42.12,17.53,0.18,60.71
rice,42.88,25.9,27.9,49.52
rice,15.88,27.09,2.44,76.67
rice,38.56,23.16,7.52,59.3
rice,37.57,37.48,33.4,55.55
rice,36.26,18.91,27.57,49.47
rice,12.31,41.56,9.28,81.01
rice,63.71,32.28,14.28,51.38
rice,14.0,28.14,2.44,76.32
rice,50.81,11.46,1.33,60.3
rice,52.98,12.52,1.11,55.65
rice,27.79,22.24,22.35,59.61
rice,49.68,16.48,2.87,57.88
rice,55.86,19.28,0.32,54.89
rice,14.93,43.88,5.25,81.57
rice,32.92,17.2,1.94,67.43
rice,46.9,37.11,15.49,57.57
rice,68.11,37.95,5.2,54.44
rice,68.8,31.07,13.1,48.49
rice,49.39,14.48,6.19,56.82
rice,65.69,17.86,6.98,45.59
rice,46.78,43.01,4.13,63.62
rice,17.29,16.91,32.7,55.11
rice,58.96,40.15,28.11,49.29
rice,65.14,18.83,21.1,43.21
rice,53.71,37.18,16.01,54.93
rice,20.65,29.08,62.67,44.65
rice,53.56,38.62,3.6,61.87
rice,40.35,39.42,19.8,63.61
rice,40.5,20.41,12.49,58.39
rice,51.33,40.57,15.17,57.06
rice,37.69,10.33,4.25,62.88
rice,53.59,44.71,1.57,67.37
rice,22.24,29.43,19.81,63.67
rice,46.96,16.58,6.59,57.24
rice,10.31,36.63,0.54,84.38
rice,54.74,17.09,47.58,30.65
rice,18.93,20.7,31.39,55.38
rice,69.78,22.89,8.93,46.62
rice,45.58,23.7,7.98,57.94
rice,51.74,10.11,14.5,52.47
rice,15.58,30.59,9.84,71.9
rice,48.54,12.27,13.01,55.69
rice,46.21,33.68,24.52,55.7
rice,26.19,38.88,10.34,72.72
rice,52.46,37.6,10.92,57.45
rice,36.41,15.16,5.97,60.62
rice,23.24,30.94,19.96,64.19
rice,69.9,42.66,15.43,53.13
rice,57.14,14.14,7.91,49.97
rice,60.39,23.43,12.73,46.41
rice,31.73,21.71,0.4,67.29
rice,11.45,39.11,4.78,77.7
rice,66.44,19.08,8.42,47.4
rice,62.36,39.47,3.09,58.34
rice,38.98,14.67,1.26,65.17
rice,53.68,27.38,8.61,56.29
rice,19.53,31.36,2.18,76.28
rice,55.08,32.99,47.06,35.86
rice,24.82,41.72,4.31,74.48
rice,26.32,36.58,8.96,69.97
rice,13.76,41.73,2.25,81.8
rice,41.95,24.39,6.4,60.5
rice,43.61,42.79,0.81,69.67
rice,35.13,19.11,19.69,53.93
rice,43.92,26.24,53.64,37.21
rice,46.51,22.23,1.82,58.86
rice,25.06,39.77,12.36,70.09
rice,41.4,14.02,29.51,47.42
rice,52.47,29.02,1.28,60.04
rice,37.5,26.96,2.72,64.33
rice,34.71,32.78,11.83,67.05
rice,13.74,27.94,24.63,64.16
rice,57.18,17.05,4.49,53.19
rice,19.88,21.56,21.21,59.53
rice,62.67,40.79,30.67,45.37
rice,24.33,25.79,62.99,41.73
rice,64.55,28.85,10.33,48.67
rice,16.33,32.99,25.9,67.31
rice,67.87,17.13,11.11,44.3
rice,27.23,37.75,12.93,70.62
rice,33.76,42.03,11.42,69.16
rice,19.48,34.36,23.64,66.86
rice,64.37,19.69,61.59,21.64
rice,18.44,17.07,3.05,71.87
rice,19.13,25.41,14.33,67.98
rice,15.01,40.88,24.41,70.63
rice,35.07,44.44,16.54,66.19
rice,48.08,15.81,32.05,41.81
rice,10.76,29.59,11.24,73.44
rice,53.16,41.16,1.24,63.16
rice,61.49,38.67,11.67,55.3
rice,52.61,21.0,9.56,52.55
rice,31.47,27.3,26.43,57.95
rice,30.11,16.08,18.67,57.52
rice,30.88,25.76,20.72,57.88
rice,49.07,31.73,6.52,59.65
rice,68.75,32.19,2.02,55.22
rice,50.57,21.38,17.39,49.19
rice,60.22,19.77,15.45,47.21
rice,51.65,27.94,5.46,59.2
rice,66.3,40.49,21.79,45.94
rice,57.31,33.27,4.52,58.12
rice,43.63,13.88,8.89,58.15
rice,37.62,40.26,11.87,66.07
rice,16.64,24.79,0.64,74.46
rice,54.39,42.13,4.93,61.71
rice,64.65,36.39,24.51,46.78
rice,11.08,43.7,19.46,76.55
rice,26.89,40.55,1.79,74.88
rice,52.22,28.92,1.52,56.93
rice,45.9,20.4,5.35,57.48
rice,54.59,11.68,34.98,39.84
rice,45.59,41.23,3.07,68.24
rice,14.74,18.38,23.74,62.87
rice,69.73,39.95,11.05,50.82
rice,13.82,39.1,13.71,75.42
rice,59.76,40.76,12.72,56.47
rice,41.05,25.06,5.72,63.36
rice,46.12,41.24,8.79,63.27
rice,46.43,32.1,13.44,56.16
rice,40.74,13.65,7.28,60.45
rice,39.26,32.83,45.1,47.58
rice,40.38,32.19,1.1,67.52
rice,25.26,22.66,9.59,65.02
rice,21.77,31.38,4.94,69.63
rice,22.42,28.08,0.08,75.18
rice,44.32,27.94,5.21,60.21
rice,65.91,23.9,1.37,50.34
rice,30.71,27.76,31.1,54.59
rice,39.61,34.58,74.04,37.86
rice,33.67,24.76,7.94,62.25
rice,64.46,34.99,14.04,51.8
rice,67.3,38.74,0.02,56.83
rice,48.18,11.79,4.47,57.55
rice,51.2,14.01,7.26,53.66
rice,37.37,22.92,1.93,66.11
rice,14.26,12.81,6.57,70.81
rice,66.5,33.4,17.03,49.13
rice,10.61,32.26,36.68,59.64
rice,46.75,40.58,19.31,58.08
rice,18.53,10.41,8.22,67.68
rice,27.7,27.01,12.91,61.39
rice,53.75,32.83,28.02,48.48
rice,51.55,25.05,16.77,49.47
rice,57.34,25.62,24.02,43.25
rice,59.35,40.01,37.27,40.39
rice,44.93,22.99,13.78,53.49
rice,52.34,34.09,7.04,58.64
rice,18.56,41.15,6.37,75.56
rice,19.27,10.89,15.57,62.68
rice,14.3,24.34,5.59,74.77
rice,50.63,31.2,6.8,61.58
rice,18.43,27.0,0.42,74.05
rice,40.33,43.74,7.27,66.52
rice,11.4,36.47,9.2,76.76
rice,27.35,41.5,1.85,75.68
rice,63.3,31.1,26.29,43.6
rice,69.04,20.09,48.72,23.51
rice,30.42,28.95,2.51,66.85
rice,43.22,28.96,21.53,53.49
rice,28.14,19.08,3.25,68.81
rice,13.46,21.99,4.73,72.92
rice,30.84,30.32,2.25,70.32
rice,36.64,31.92,10.07,64.13
rice,44.16,31.72,3.37,64.93
rice,33.71,11.38,9.68,58.95
rice,67.84,41.83,19.21,49.41
rice,42.0,40.45,2.1,68.14
rice,57.65,19.65,31.44,40.0
rice,66.64,15.21,9.32,46.58
rice,61.81,30.61,7.06,53.93
rice,27.15,17.11,21.52,58.63
rice,39.54,30.2,30.1,48.06
rice,68.84,24.27,26.36,38.62
rice,67.36,17.02,1.74,52.31
rice,61.24,25.37,28.16,40.76
rice,40.63,31.93,39.13,48.88
rice,11.15,26.69,17.46,70.81
rice,18.07,20.48,6.66,71.44
rice,58.27,19.76,3.55,52.45
rice,10.86,35.83,26.95,69.7
rice,54.43,15.0,21.0,47.3
rice,55.97,39.61,14.26,57.75
rice,15.32,27.07,1.21,73.32
rice,13.96,22.21,1.76,71.72
rice,58.49,43.17,1.13,62.88
rice,27.97,12.69,10.42,64.37
rice,57.67,34.75,0.77,59.77
rice,27.72,18.13,4.95,65.24
rice,58.21,42.52,7.79,58.95
rice,38.59,17.91,15.34,57.16
rice,68.74,31.12,6.64,49.36
rice,63.32,27.61,8.95,51.03
rice,45.15,31.87,1.12,62.66
rice,52.84,38.79,24.44,53.14
rice,43.15,28.21,2.31,62.05
rice,39.8,19.95,2.16,63.6
rice,47.77,11.9,20.71,48.46
rice,26.57,34.74,0.97,73.93
rice,60.36,10.13,4.25,50.67
rice,16.11,22.61,4.73,73.57
rice,60.56,20.97,23.33,42.09
rice,64.6,23.21,49.9,29.13
rice,15.36,34.05,10.21,76.4
rice,52.23,10.15,2.74,54.38
rice,52.78,33.32,50.74,35.07
rice,16.32,37.36,15.5,73.89
rice,12.89,22.6,47.13,47.88
rice,37.46,17.31,6.9,60.97
rice,32.19,11.83,21.89,57.67
rice,61.02,17.42,16.07,45.28
rice,38.34,40.81,3.65,71.15
rice,27.72,14.78,15.82,63.27
rice,54.32,21.05,15.53,51.37
rice,21.95,41.16,5.08,75.35
rice,32.07,12.03,1.77,63.32
rice,60.13,10.51,7.15,50.8
rice,30.24,10.68,1.99,66.32
rice,34.26,28.58,13.56,57.73
rice,10.6,26.24,49.66,56.38
rice,28.71,37.09,22.24,63.57
rice,41.28,44.16,2.01,70.18
rice,25.93,10.61,5.21,67.26
rice,56.39,28.13,6.42,56.6
rice,68.45,39.65,0.36,55.3
rice,63.91,37.41,22.74,43.87
rice,28.17,12.3,3.89,65.22
rice,24.8,26.94,20.64,60.71
rice,67.47,43.0,23.07,47.69
rice,69.48,29.06,49.36,27.82
rice,23.52,16.85,2.28,68.55
rice,47.34,37.35,12.95,60.1
rice,48.16,23.59,16.82,51.25
rice,25.59,22.08,37.42,50.66
rice,63.41,34.77,0.96,54.59
rice,18.84,10.27,14.95,63.66
rice,67.48,28.54,4.15,51.19
rice,40.04,33.79,1.19,68.62
rice,37.58,29.13,8.51,62.01
rice,12.63,15.8,8.85,71.81
rice,24.52,43.62,3.29,77.78
rice,67.09,44.82,18.66,50.93
rice,25.57,25.29,13.5,64.81
rice,14.38,31.78,59.59,49.72
rice,64.47,43.03,48.33,35.61
rice,41.29,44.21,21.24,60.81
rice,53.1,18.66,15.35,47.81
rice,50.0,15.69,12.49,52.5
rice,10.73,10.32,6.62,75.45
rice,65.57,18.0,15.09,43.15
rice,60.88,35.51,1.5,56.88
rice,35.72,11.02,9.83,59.06
rice,27.33,23.92,37.8,51.33
rice,69.6,11.57,21.47,37.18
rice,55.26,42.14,45.22,39.43
rice,44.63,22.5,23.24,50.36
rice,31.51,32.98,4.12,67.03
rice,21.5,42.14,1.61,76.54
rice,12.34,11.26,2.89,74.3
rice,62.01,19.89,45.07,28.5
rice,44.81,28.08,21.33,55.83
rice,26.95,22.36,33.68,54.54
rice,38.58,27.41,3.44,63.73
rice,45.47,16.51,6.04,57.22
rice,14.27,12.42,42.4,54.3
rice,40.42,24.33,24.98,50.79
rice,51.62,36.99,15.95,57.48
rice,19.1,40.66,11.62,73.45
rice,12.25,14.48,21.76,62.36
rice,10.0,24.58,11.09,71.14
rice,28.24,18.06,0.02,67.0
rice,53.76,43.84,3.81,65.71
rice,60.91,24.79,5.41,53.48
rice,29.52,34.94,25.46,59.73
rice,64.12,38.23,62.85,27.19
rice,55.25,23.76,13.4,49.49
rice,42.67,34.83,2.75,66.15
rice,56.84,30.43,45.62,33.85
rice,52.87,36.57,1.62,63.66
rice,40.83,27.81,6.91,63.37
rice,37.7,42.23,17.79,64.98
rice,53.74,40.16,4.8,61.12
rice,30.72,21.75,57.61,39.43
rice,61.39,34.54,19.48,49.85
rice,39.78,23.32,2.67,62.68
rice,57.17,35.71,7.28,57.28
rice,24.1,34.67,25.48,63.41
rice,42.79,43.85,0.8,73.07
rice,61.76,16.27,24.14,41.45
rice,43.16,23.88,2.12,59.84
rice,62.28,33.54,23.89,44.37
rice,25.03,31.87,12.72,67.68
rice,27.26,20.74,6.53,64.76
rice,47.28,21.69,19.79,49.05
rice,57.03,20.0,8.5,51.11
rice,51.13,21.64,0.87,58.62
rice,48.5,33.5,15.01,56.29
rice,21.94,24.64,20.85,61.57
rice,26.58,25.12,58.96,40.27
rice,14.05,28.15,2.97,78.18
rice,52.27,24.8,6.38,54.73
rice,33.86,19.25,3.45,61.67
rice,27.25,32.99,51.88,47.25
